"Story","Title","Result","Date","Stability","Duration (s)"
"Login into the application","successful login","FAILURE","2021-10-04T12:40:51.7417295-05:00[America/Lima]","0.0","36.36"
"Login into the application","failed login","FAILURE","2021-10-04T12:41:28.1870211-05:00[America/Lima]","0.0","23.38"
"Login into the application","user not registered","FAILURE","2021-10-04T12:41:51.5871997-05:00[America/Lima]","0.0","19.51"
